,selling_price,km_driven,fuel,seller_type,transmission,owner,car_model,Age
2064,300000,60000,Petrol,Individual,Manual,Second Owner,Tata Zest,8
2065,73000,57000,Petrol,Individual,Manual,First Owner,Tata Nano,8
2066,400000,87000,Diesel,Individual,Manual,Third Owner,Maruti Swift,8
2067,300000,70000,Petrol,Individual,Manual,First Owner,Renault KWID,6
2068,300000,30000,Petrol,Individual,Automatic,Second Owner,Maruti Wagon,11
2069,450000,80000,Diesel,Individual,Manual,First Owner,Maruti Swift,11
2070,200000,100000,Petrol,Individual,Manual,Second Owner,Hyundai Santro,14
2071,580000,40000,Petrol,Individual,Manual,First Owner,Maruti Swift,4
2072,550000,3917,Petrol,Individual,Manual,First Owner,Hyundai Grand,6
2073,190000,160000,Diesel,Individual,Manual,Second Owner,Mahindra Scorpio,16
2074,450000,35000,Diesel,Individual,Manual,First Owner,Tata Tiago,6
2075,220000,70000,Petrol,Individual,Manual,First Owner,Chevrolet Spark,9
2076,310000,69069,Petrol,Dealer,Manual,First Owner,Maruti SX4,11
2077,650000,13500,Petrol,Individual,Manual,First Owner,Hyundai Elite,4
2078,300000,59059,Petrol,Dealer,Manual,First Owner,Maruti Wagon,9
2079,200000,70000,Petrol,Individual,Manual,First Owner,Hyundai Accent,10
2080,285000,39039,Petrol,Dealer,Manual,First Owner,Honda Brio,11
2081,335000,33033,Petrol,Dealer,Manual,First Owner,Honda Brio,9
2082,370000,55168,Petrol,Individual,Manual,Second Owner,Hyundai Verna,12
2083,375000,41041,Petrol,Dealer,Manual,First Owner,Hyundai i20,10
2084,235000,67067,Petrol,Dealer,Manual,First Owner,Hyundai i10,14
2085,345000,66066,Petrol,Dealer,Automatic,First Owner,Hyundai i10,10
2086,365000,82082,Diesel,Dealer,Manual,First Owner,Mahindra Quanto,10
2087,400000,48000,Petrol,Individual,Manual,First Owner,Hyundai Grand,9
2088,250000,30000,Petrol,Individual,Manual,First Owner,Hyundai EON,8
2089,465000,70070,Diesel,Dealer,Automatic,First Owner,Hyundai Verna,11
2090,300000,10000,Petrol,Individual,Manual,First Owner,Renault KWID,6
2091,655000,25000,Petrol,Individual,Manual,First Owner,Maruti Swift,5
2092,350000,30000,CNG,Individual,Manual,Second Owner,Maruti Wagon,7
2093,500000,50000,Petrol,Dealer,Automatic,First Owner,Hyundai i10,8
2094,465000,63063,Petrol,Dealer,Automatic,First Owner,Hyundai Grand,8
2095,263000,70000,Diesel,Individual,Manual,First Owner,Maruti Swift,15
2096,250000,90000,Petrol,Individual,Manual,First Owner,Maruti Omni,11
2098,70000,90000,Petrol,Individual,Manual,Third Owner,Hyundai Getz,18
2103,650000,140000,Diesel,Individual,Manual,First Owner,others,6
2104,370000,80000,Diesel,Individual,Manual,Second Owner,Hyundai i20,9
2105,509999,40000,Diesel,Individual,Manual,First Owner,Maruti Swift,7
2106,280000,33000,Petrol,Individual,Manual,First Owner,Maruti Zen,12
2107,180000,40000,Petrol,Individual,Manual,First Owner,Maruti A-Star,13
2115,650000,6000,Petrol,Individual,Manual,First Owner,Ford Ecosport,6
2116,200000,78000,Diesel,Dealer,Manual,Second Owner,Hyundai Verna,13
2117,210000,72000,Diesel,Dealer,Manual,Third Owner,Hyundai Verna,12
2118,75000,9528,Petrol,Dealer,Manual,First Owner,Tata Nano,12
2119,450000,135200,Diesel,Dealer,Manual,First Owner,Toyota Innova,12
2120,220000,58000,Petrol,Dealer,Manual,Second Owner,Hyundai i20,12
2121,325000,78000,Diesel,Dealer,Manual,Second Owner,Hyundai i20,10
2122,450000,45000,Petrol,Individual,Manual,First Owner,Tata Zest,5
2123,825000,35000,Diesel,Individual,Manual,First Owner,Ford EcoSport,6
2124,125000,76000,Petrol,Dealer,Manual,Third Owner,Hyundai Accent,16
2125,434999,100000,Diesel,Individual,Manual,Third Owner,Mahindra Xylo,8
2126,484999,99000,Diesel,Individual,Manual,Second Owner,Mahindra Scorpio,12
2127,175000,80000,Diesel,Individual,Manual,Third Owner,Maruti Ritz,14
2128,220000,120000,Petrol,Individual,Manual,Third Owner,Honda Civic,17
2130,215000,34000,Petrol,Dealer,Manual,First Owner,Maruti Omni,6
2131,625000,68000,Diesel,Dealer,Manual,First Owner,Mahindra XUV500,9
2132,615000,15000,Diesel,Individual,Manual,First Owner,Ford EcoSport,5
2133,130000,58000,Diesel,Dealer,Manual,First Owner,Chevrolet Beat,11
2134,175000,50300,Diesel,Individual,Manual,First Owner,Tata Indigo,10
2135,150000,70000,Diesel,Individual,Manual,Second Owner,Tata Indigo,12
2136,195000,60000,Diesel,Individual,Manual,Third Owner,Tata Indica,12
2137,550000,90000,Diesel,Individual,Manual,First Owner,Maruti Ertiga,3
2139,400000,80000,Petrol,Individual,Manual,Second Owner,Skoda Superb,13
2141,217000,45000,Petrol,Individual,Manual,First Owner,Maruti Swift,8
2142,290000,130000,Diesel,Individual,Manual,Second Owner,Maruti Swift,12
2143,700000,80000,Diesel,Individual,Manual,First Owner,Mahindra Bolero,5
2144,175000,40000,Petrol,Individual,Manual,First Owner,Maruti Alto,9
2145,575000,80000,Diesel,Individual,Manual,First Owner,others,6
2146,380000,100000,Diesel,Individual,Manual,Second Owner,Maruti Ritz,7
2147,350000,151624,Diesel,Individual,Manual,Second Owner,Mahindra Xylo,10
2148,450000,160000,Diesel,Individual,Manual,First Owner,Renault Duster,11
2149,130000,110000,CNG,Individual,Manual,Second Owner,Hyundai Santro,18
2150,320000,74820,Diesel,Individual,Manual,First Owner,Maruti Swift,8
2151,550000,82000,Diesel,Individual,Manual,First Owner,Mahindra XUV500,9
2152,370000,50000,Petrol,Individual,Manual,Second Owner,Maruti Wagon,8
2153,114999,70000,Petrol,Individual,Manual,Second Owner,Chevrolet Beat,13
2154,1100000,1000,Petrol,Individual,Manual,First Owner,Ford Ecosport,3
2156,80000,150000,Diesel,Individual,Manual,Third Owner,Tata Indigo,15
2157,950000,17000,Diesel,Individual,Manual,First Owner,Ford EcoSport,4
2158,425000,150000,Diesel,Individual,Manual,First Owner,Maruti Swift,9
2159,500000,80000,Diesel,Individual,Manual,First Owner,Hyundai i20,8
2161,349000,120000,Diesel,Individual,Manual,First Owner,Honda Amaze,10
2162,330000,90000,Petrol,Individual,Manual,Third Owner,Hyundai i20,11
2163,120000,90000,Petrol,Individual,Manual,Third Owner,Hyundai Santro,13
2164,430000,100000,Diesel,Individual,Manual,Second Owner,Hyundai Verna,10
2165,390000,90000,Diesel,Individual,Manual,First Owner,Maruti Swift,9
2166,225000,129000,Diesel,Individual,Manual,First Owner,Nissan Micra,11
2168,100000,66778,Diesel,Individual,Manual,First Owner,Tata Sumo,14
2169,190000,50000,Petrol,Individual,Manual,First Owner,Hyundai EON,9
2170,315000,110000,Diesel,Individual,Manual,Second Owner,Hyundai i20,9
2171,300000,60000,Diesel,Individual,Manual,Second Owner,Hyundai Grand,8
2172,280000,40000,Petrol,Individual,Manual,First Owner,Renault KWID,7
2191,539000,10000,Petrol,Individual,Manual,First Owner,Tata Tiago,5
2192,420000,50000,Petrol,Individual,Manual,First Owner,Maruti Celerio,6
2193,85000,70000,Petrol,Individual,Manual,Third Owner,Maruti Omni,22
2194,142000,73000,Petrol,Individual,Manual,Fourth & Above Owner,others,19
2195,180000,76000,Petrol,Individual,Manual,Second Owner,Hyundai EON,9
2196,400000,120000,Diesel,Individual,Manual,Second Owner,Chevrolet Tavera,9
2198,85000,110000,Petrol,Individual,Manual,Second Owner,Hyundai Santro,20
2199,350000,63400,Petrol,Individual,Manual,First Owner,Honda Brio,7
2200,380000,25000,Petrol,Individual,Manual,First Owner,Datsun GO,8
2201,140000,80000,Petrol,Individual,Manual,Third Owner,Hyundai i10,14
2202,200000,90000,Petrol,Individual,Manual,First Owner,Maruti Wagon,11
2203,150000,157000,Petrol,Individual,Manual,First Owner,Hyundai Santro,12
2206,300000,100000,Diesel,Individual,Manual,Second Owner,Mahindra Bolero,16
2207,280000,50000,Petrol,Individual,Manual,First Owner,Renault KWID,6
2208,200000,40000,Petrol,Individual,Manual,First Owner,Maruti Alto,12
2209,110000,38500,Petrol,Individual,Manual,Second Owner,Chevrolet Aveo,14
2210,140000,103921,Petrol,Individual,Manual,Second Owner,Hyundai i10,15
2212,1150000,14825,Petrol,Dealer,Manual,First Owner,Honda City,5
2213,910000,43377,Diesel,Dealer,Manual,First Owner,others,7
2214,160000,102307,Diesel,Dealer,Manual,First Owner,Ford Figo,13
2215,105000,79000,Petrol,Individual,Manual,Second Owner,Maruti Zen,19
2218,70000,90000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti Wagon,19
2219,160000,110000,Diesel,Individual,Manual,First Owner,Chevrolet Beat,11
2221,225000,80000,Diesel,Individual,Manual,First Owner,Chevrolet Sail,10
2223,145000,100000,Petrol,Individual,Manual,First Owner,Honda City,21
2225,930000,20000,Diesel,Individual,Manual,First Owner,Ford EcoSport,5
2227,110000,154000,Diesel,Individual,Manual,Third Owner,Hyundai Getz,15
2230,650000,40000,Diesel,Individual,Manual,First Owner,others,6
2231,550000,51000,Petrol,Individual,Manual,First Owner,Maruti Swift,4
2232,85000,120000,Petrol,Individual,Manual,Second Owner,Maruti Alto,15
2235,509999,35000,Petrol,Individual,Manual,First Owner,Toyota Etios,7
2274,650000,70000,Diesel,Individual,Manual,First Owner,Maruti Baleno,6
2275,140000,60000,Petrol,Individual,Manual,Second Owner,Chevrolet Spark,12
2276,150000,70000,Petrol,Individual,Manual,First Owner,Maruti Alto,12
2277,450000,10000,Petrol,Individual,Manual,Second Owner,Datsun GO,5
2279,400000,60000,Petrol,Individual,Manual,First Owner,Renault KWID,6
2280,300000,30000,Petrol,Individual,Manual,First Owner,Tata Tiago,7
2281,250000,8000,Petrol,Individual,Manual,First Owner,Maruti Alto,11
2282,500000,10000,Petrol,Individual,Manual,First Owner,others,4
2283,85000,100000,Diesel,Individual,Manual,Third Owner,Hyundai Accent,21
2284,300000,110000,Diesel,Individual,Manual,First Owner,Nissan Sunny,11
2286,740000,45000,Diesel,Dealer,Automatic,First Owner,Mahindra XUV500,8
2287,70000,68500,Petrol,Dealer,Manual,First Owner,Hyundai Santro,18
2288,484999,5007,Petrol,Dealer,Automatic,First Owner,Hyundai Santro,4
2289,164000,30000,Petrol,Individual,Manual,First Owner,Nissan Micra,10
2290,140000,70000,Petrol,Individual,Automatic,First Owner,Honda City,15
2291,999000,49600,Diesel,Dealer,Automatic,First Owner,others,12
2292,56000,23000,Petrol,Individual,Manual,Second Owner,Maruti Alto,18
2293,1050000,30000,Diesel,Dealer,Automatic,First Owner,others,17
2294,190000,38000,Petrol,Dealer,Manual,First Owner,Hyundai Verna,13
2296,235000,43100,Petrol,Dealer,Manual,First Owner,Hyundai i10,12
2297,350000,10171,Petrol,Dealer,Manual,First Owner,Datsun GO,6
2298,465000,41123,Diesel,Dealer,Manual,First Owner,Renault Duster,8
2300,450000,40000,Diesel,Dealer,Manual,First Owner,Honda City,9
2301,790000,52517,Diesel,Dealer,Manual,First Owner,Volkswagen Jetta,8
2302,900000,20000,Diesel,Individual,Manual,First Owner,others,4
2303,450000,99117,Diesel,Dealer,Manual,First Owner,Ford Ecosport,9
2304,135000,90000,Petrol,Individual,Manual,First Owner,Chevrolet Spark,14
2305,425000,3700,Petrol,Individual,Manual,First Owner,Maruti Celerio,4
2306,100000,80000,Diesel,Individual,Manual,First Owner,Tata Indica,13
2307,650000,100000,Diesel,Individual,Manual,Second Owner,Ford EcoSport,8
2308,90000,54000,Diesel,Individual,Manual,First Owner,Tata Indica,12
2309,250000,19000,Petrol,Individual,Manual,First Owner,Hyundai EON,6
2310,300000,120000,Diesel,Individual,Manual,First Owner,Maruti Swift,9
2311,275000,30000,Petrol,Individual,Manual,First Owner,Maruti Wagon,9
2312,600000,43500,Petrol,Individual,Manual,First Owner,others,6
2313,270000,60000,Petrol,Individual,Manual,Second Owner,Renault KWID,7
2314,240000,70000,Petrol,Individual,Manual,Second Owner,Renault KWID,7
2341,350000,20000,Petrol,Individual,Manual,First Owner,Renault KWID,7
2343,650000,58000,Diesel,Individual,Manual,First Owner,Maruti Swift,8
2344,350000,40000,Petrol,Dealer,Manual,First Owner,Maruti Wagon,9
2345,75000,70000,Petrol,Individual,Manual,Second Owner,Maruti Wagon,18
2346,440000,70000,Diesel,Dealer,Manual,First Owner,Hyundai i20,11
2347,270000,60000,Petrol,Individual,Manual,First Owner,Hyundai Santro,10
2348,1150000,135000,Diesel,Dealer,Manual,First Owner,Toyota Innova,9
2349,238000,70000,Petrol,Dealer,Manual,First Owner,Maruti Omni,8
2350,1100000,40000,Petrol,Individual,Automatic,Second Owner,others,10
2351,1200000,75000,Diesel,Dealer,Manual,Second Owner,Mahindra XUV500,8
2352,260000,150000,Diesel,Individual,Manual,First Owner,others,13
2353,350000,140000,Diesel,Individual,Manual,Third Owner,Toyota Etios,11
2354,480000,70000,Diesel,Individual,Manual,First Owner,Toyota Etios,8
2355,345000,137250,Diesel,Individual,Manual,Second Owner,Toyota Etios,11
2356,500000,110000,Diesel,Individual,Manual,Second Owner,Mahindra Scorpio,10
2357,595000,27000,Petrol,Dealer,Manual,First Owner,Hyundai Grand,6
2360,541000,1000,Petrol,Dealer,Manual,Test Drive Car,Renault KWID,3
2361,515000,16000,Petrol,Dealer,Manual,First Owner,Hyundai Santro,5
2362,894999,13000,Diesel,Dealer,Manual,Test Drive Car,Ford Figo,4
2363,325000,47000,Diesel,Dealer,Manual,First Owner,others,11
2364,925000,22000,Petrol,Individual,Manual,First Owner,Maruti Ciaz,5
2365,844999,30000,Petrol,Individual,Manual,First Owner,Nissan Terrano,6
2366,925000,20000,Petrol,Individual,Manual,First Owner,Maruti Ciaz,5
2367,300000,60000,Diesel,Individual,Manual,First Owner,Tata Manza,10
2368,650000,75000,Petrol,Individual,Manual,Second Owner,others,15
2369,175000,64000,Petrol,Dealer,Manual,First Owner,Maruti Alto,13
2370,325000,80000,Diesel,Individual,Manual,First Owner,Maruti SX4,8
2371,600000,90000,Diesel,Individual,Manual,First Owner,Renault Duster,6
2372,700000,30000,Petrol,Individual,Manual,First Owner,Maruti Swift,5
2373,95000,120000,Petrol,Individual,Automatic,Second Owner,Toyota Corolla,20
2374,490000,20000,Petrol,Dealer,Manual,First Owner,Maruti Celerio,4
2375,380000,100000,Diesel,Individual,Manual,First Owner,Tata Safari,10
2376,550000,31000,Petrol,Dealer,Manual,First Owner,Hyundai Grand,5
2377,225000,47000,Petrol,Dealer,Manual,First Owner,Maruti Alto,10
2378,570000,11200,Petrol,Individual,Manual,First Owner,others,5
2379,305000,35000,Petrol,Dealer,Manual,First Owner,Maruti Alto,5
2380,240000,50000,LPG,Dealer,Manual,First Owner,Maruti Wagon,13
2381,700000,55000,Diesel,Dealer,Manual,First Owner,Maruti Ertiga,8
2382,288000,20000,Petrol,Dealer,Manual,First Owner,Maruti Omni,5
2383,800000,75000,Diesel,Dealer,Manual,First Owner,Mahindra Bolero,6
2384,430000,93000,Petrol,Dealer,Manual,First Owner,Maruti Celerio,6
2385,195000,57000,Diesel,Dealer,Manual,Second Owner,Chevrolet Beat,14
2386,325000,30000,Petrol,Dealer,Manual,First Owner,Maruti Eeco,9
2387,450000,73000,Diesel,Dealer,Manual,First Owner,Renault Duster,10
2388,630000,65000,Diesel,Dealer,Manual,First Owner,Maruti Swift,7
2389,250000,62000,Petrol,Dealer,Manual,Second Owner,Maruti Swift,14
2390,135000,85000,Petrol,Dealer,Manual,First Owner,Hyundai Santro,16
2391,110000,73000,Petrol,Individual,Manual,First Owner,Chevrolet Spark,13
2392,350000,55000,Diesel,Dealer,Manual,First Owner,Maruti Swift,11
2393,240000,5800,Petrol,Individual,Manual,Second Owner,Maruti Omni,7
2395,600000,30000,Petrol,Individual,Manual,First Owner,Maruti Swift,5
2396,750000,20000,Diesel,Individual,Manual,First Owner,Maruti Swift,5
2397,270000,20000,Petrol,Individual,Manual,First Owner,Hyundai EON,5
2398,90000,100000,Petrol,Individual,Manual,Second Owner,Maruti Alto,16
2399,350000,65000,Petrol,Individual,Manual,First Owner,Maruti Wagon,10
2400,285000,90000,Diesel,Individual,Manual,Second Owner,Ford Figo,10
2403,350000,140000,Diesel,Individual,Manual,Second Owner,Mahindra Xylo,12
2405,285000,60000,Petrol,Dealer,Manual,Second Owner,Honda Jazz,13
2406,1000000,28635,Petrol,Dealer,Manual,First Owner,Honda City,5
2407,780000,32114,Diesel,Dealer,Manual,First Owner,Honda Amaze,5
2408,300000,82000,Petrol,Dealer,Manual,Second Owner,Maruti Celerio,9
2409,160000,95149,Petrol,Dealer,Manual,Second Owner,Maruti Swift,17
2410,625000,68458,Petrol,Dealer,Manual,First Owner,Honda Amaze,5
2411,265000,42000,Petrol,Individual,Manual,First Owner,Maruti Ritz,13
2412,515000,90000,Diesel,Individual,Manual,Second Owner,Honda City,9
2421,650000,100000,Diesel,Individual,Manual,First Owner,Hyundai i20,7
2422,650000,80000,Diesel,Individual,Manual,First Owner,Mahindra TUV,6
2423,150000,105546,Petrol,Individual,Manual,First Owner,Hyundai Getz,13
2424,500000,10000,Petrol,Individual,Manual,First Owner,Toyota Etios,5
2425,1000000,80000,Diesel,Individual,Manual,Second Owner,Toyota Innova,11
2426,340000,35000,Petrol,Individual,Manual,First Owner,Hyundai i20,10
2428,1010000,120000,Diesel,Individual,Manual,First Owner,Toyota Innova,10
2429,350000,120000,Diesel,Individual,Manual,Third Owner,Toyota Etios,12
2430,595000,70000,Diesel,Individual,Manual,First Owner,Maruti Swift,7
2431,700000,130000,Diesel,Individual,Manual,Third Owner,Mahindra Scorpio,9
2432,265000,40000,Petrol,Individual,Manual,First Owner,Renault KWID,4
2433,320000,60000,Petrol,Individual,Manual,Second Owner,Maruti Alto,8
2434,310000,110000,Petrol,Individual,Manual,First Owner,Honda City,12
2435,700000,130000,Diesel,Individual,Manual,First Owner,Honda City,9
2436,130000,80000,Petrol,Individual,Manual,Second Owner,Maruti Alto,14
2437,150000,120000,Diesel,Individual,Manual,Second Owner,Maruti Swift,14
2438,300000,104000,Diesel,Individual,Manual,Second Owner,Honda Amaze,8
2439,150000,100000,Petrol,Individual,Manual,Second Owner,Maruti Swift,12
2440,120000,132343,Petrol,Individual,Manual,Second Owner,Honda City,20
2441,950000,90000,Diesel,Individual,Manual,Second Owner,Hyundai Creta,7
2442,100000,60000,Petrol,Individual,Manual,Second Owner,Maruti Wagon,16
2443,450000,76000,Diesel,Individual,Manual,First Owner,Honda Jazz,8
2444,30000,60000,Petrol,Individual,Manual,Third Owner,Maruti 800,19
2445,200000,30000,Petrol,Individual,Manual,Second Owner,others,14
2446,250000,96000,Diesel,Individual,Manual,Second Owner,Tata Indigo,13
2460,280000,26134,Petrol,Dealer,Manual,First Owner,Maruti Alto,8
2464,260000,52895,Diesel,Dealer,Manual,First Owner,Maruti Ritz,12
2465,550000,42324,Diesel,Dealer,Manual,Second Owner,Hyundai Verna,10
2466,1044999,65000,Diesel,Dealer,Manual,First Owner,Mahindra XUV500,7
2467,550000,60236,Diesel,Dealer,Manual,First Owner,Mahindra Scorpio,11
2468,210000,70000,Petrol,Individual,Manual,Second Owner,Maruti Wagon,9
2469,210000,70000,Petrol,Individual,Manual,Third Owner,Maruti Wagon,9
2470,290000,100000,Diesel,Individual,Manual,Second Owner,Mahindra Xylo,14
2471,250999,110000,Diesel,Individual,Manual,First Owner,others,15
2472,600000,10300,Petrol,Individual,Manual,First Owner,others,4
2473,270000,120000,Diesel,Individual,Manual,Second Owner,others,9
2474,550000,142000,Diesel,Individual,Manual,First Owner,Tata New,11
2475,800000,25000,Diesel,Individual,Manual,First Owner,Mahindra TUV,6
2476,500000,5000,Petrol,Individual,Manual,First Owner,others,3
2478,396000,28643,Petrol,Dealer,Manual,First Owner,Hyundai Grand,7
2479,600000,50000,Diesel,Individual,Manual,First Owner,Honda City,9
2480,575000,30000,Petrol,Dealer,Manual,First Owner,Maruti Wagon,4
2481,520000,5000,Petrol,Individual,Manual,First Owner,Hyundai Santro,3
2483,600000,7600,Petrol,Individual,Automatic,First Owner,Maruti Baleno,5
2484,195000,47253,Diesel,Dealer,Manual,First Owner,Chevrolet Beat,10
2485,281000,4432,Petrol,Dealer,Automatic,Second Owner,Maruti Alto,8
2486,75000,110000,Petrol,Individual,Manual,Second Owner,Tata Indica,13
2487,400000,25000,Petrol,Individual,Manual,First Owner,Hyundai Grand,9
2488,93000,70000,Diesel,Individual,Manual,Second Owner,Tata Indica,14
2489,560000,68523,Petrol,Dealer,Manual,First Owner,Hyundai i20,7
2490,400000,5000,Petrol,Individual,Manual,First Owner,Hyundai EON,4
2491,459999,40000,Petrol,Individual,Manual,First Owner,others,5
2492,450000,43000,Diesel,Individual,Manual,First Owner,Hyundai Xcent,6
2493,88000,80251,CNG,Dealer,Manual,Second Owner,Maruti Alto,13
2494,250000,34500,Petrol,Individual,Manual,Second Owner,Hyundai i20,13
2496,130000,93900,Diesel,Individual,Manual,Second Owner,Chevrolet Beat,10
2497,79000,80000,Petrol,Individual,Manual,First Owner,Maruti Zen,19
2498,120000,110000,Diesel,Individual,Manual,First Owner,Chevrolet Beat,11
2500,300000,25000,Diesel,Individual,Manual,First Owner,others,11
2502,145000,25000,Petrol,Individual,Manual,First Owner,Maruti A-Star,14
2504,240000,10000,Petrol,Individual,Manual,First Owner,Chevrolet Spark,10
2505,700000,30000,Diesel,Individual,Manual,First Owner,others,5
2506,145000,110000,Petrol,Individual,Manual,Second Owner,Hyundai Accent,13
2507,535000,80000,Diesel,Individual,Manual,Second Owner,Maruti Ertiga,9
2508,420000,21000,Petrol,Individual,Manual,First Owner,Mahindra KUV,7
2509,350000,20000,Petrol,Individual,Manual,First Owner,Maruti Alto,7
2510,550000,32000,Diesel,Individual,Manual,First Owner,Maruti Swift,8
2512,198000,70000,Diesel,Individual,Manual,Second Owner,Tata Indica,11
2513,420000,50000,Diesel,Individual,Manual,First Owner,Hyundai i20,10
2515,195000,120000,Diesel,Individual,Manual,First Owner,Ford Endeavour,19
2516,150000,55766,Petrol,Individual,Manual,Second Owner,Hyundai EON,11
2517,275000,40000,Petrol,Individual,Manual,Second Owner,Nissan Micra,12
2518,65000,60000,Petrol,Individual,Manual,Third Owner,Maruti 800,22
2519,200000,50000,Petrol,Individual,Manual,First Owner,Maruti Swift,15
2520,250000,110000,Diesel,Individual,Manual,Second Owner,Maruti Swift,13
2528,182000,100000,Diesel,Individual,Manual,First Owner,Tata Indigo,10
2541,85000,86000,Petrol,Individual,Manual,Second Owner,Maruti Zen,22
2542,400000,50000,Diesel,Individual,Manual,First Owner,Maruti Swift,10
2543,650000,20000,Diesel,Individual,Manual,First Owner,Maruti Baleno,6
2544,400000,50000,Petrol,Individual,Manual,First Owner,Hyundai i10,13
2545,295000,80000,Diesel,Individual,Manual,Second Owner,Tata Manza,11
2546,60000,135000,LPG,Individual,Manual,Fourth & Above Owner,Maruti Omni,17
2547,110000,120000,Diesel,Individual,Manual,Third Owner,Maruti Zen,20
2548,550000,113600,Diesel,Individual,Manual,First Owner,Fiat Linea,8
2549,190000,70000,Petrol,Individual,Manual,Third Owner,Hyundai Santro,15
2550,861999,20000,Diesel,Dealer,Manual,First Owner,others,5
2551,782000,14000,Petrol,Dealer,Manual,First Owner,others,5
2552,836000,26000,Diesel,Dealer,Manual,First Owner,others,5
2553,696000,138925,Petrol,Dealer,Manual,First Owner,Honda City,7
2554,596000,121764,Diesel,Dealer,Manual,First Owner,Honda Jazz,7
2555,612000,105429,Petrol,Dealer,Manual,First Owner,Honda Jazz,7
2556,114999,35000,Petrol,Individual,Manual,First Owner,Maruti Alto,8
2557,340000,60000,Diesel,Individual,Manual,First Owner,others,6
2558,550000,5000,Petrol,Individual,Manual,First Owner,Maruti Swift,3
2559,114999,70000,Petrol,Individual,Manual,Third Owner,Chevrolet Aveo,15
2561,890000,20000,Diesel,Individual,Manual,First Owner,Maruti Vitara,4
2562,715000,8000,Petrol,Individual,Manual,First Owner,others,4
2563,525000,54000,Petrol,Dealer,Manual,Second Owner,Hyundai i20,9
2569,475000,23122,Petrol,Dealer,Manual,Second Owner,Hyundai i20,9
2576,349000,44500,Diesel,Dealer,Manual,Second Owner,Chevrolet Cruze,11
2581,825000,13599,Petrol,Dealer,Automatic,First Owner,Volkswagen Polo,6
2584,550000,100000,Diesel,Individual,Manual,Second Owner,Mahindra Scorpio,9
2585,95000,110000,Petrol,Individual,Manual,Third Owner,Maruti Swift,17
2586,725000,90000,Diesel,Individual,Manual,Second Owner,Toyota Innova,9
2587,670000,17000,Petrol,Individual,Manual,First Owner,others,4
2588,65000,140000,Petrol,Individual,Manual,First Owner,Maruti Alto,15
2589,500000,50000,Diesel,Individual,Manual,Second Owner,Mahindra Xylo,8
2590,600000,53000,Petrol,Individual,Manual,First Owner,Mahindra KUV,6
2591,350000,70000,Petrol,Individual,Manual,Second Owner,Maruti Wagon,6
2592,200000,70000,Diesel,Individual,Manual,Second Owner,Chevrolet Beat,11
2594,150000,80000,Petrol,Individual,Manual,First Owner,Hyundai EON,11
2595,75000,110000,Diesel,Individual,Manual,Second Owner,Maruti Zen,20
2596,350000,90000,Diesel,Individual,Manual,Second Owner,Honda Amaze,10
2598,890000,86000,Diesel,Individual,Automatic,Second Owner,others,12
2599,500000,120000,Diesel,Individual,Manual,First Owner,Mahindra Scorpio,9
2600,600000,5200,Petrol,Individual,Manual,First Owner,Hyundai Elite,4
2601,99000,60000,Petrol,Individual,Manual,Second Owner,Chevrolet Beat,13
2602,235000,46000,Petrol,Individual,Manual,First Owner,Hyundai i10,12
2603,75000,40000,Petrol,Individual,Manual,Second Owner,Tata Indigo,17
2604,600000,90000,Diesel,Individual,Manual,Second Owner,Honda City,9
2605,1000000,25000,Diesel,Individual,Manual,Second Owner,Hyundai Verna,4
2606,390000,90000,Diesel,Individual,Manual,First Owner,Hyundai Verna,11
2607,600000,70000,Diesel,Individual,Manual,First Owner,Volkswagen Polo,8
2608,600000,70000,Petrol,Individual,Manual,Second Owner,Hyundai i20,6
2609,730000,35000,Diesel,Individual,Manual,Second Owner,Hyundai Elite,4
2610,450000,12700,Petrol,Individual,Automatic,First Owner,Hyundai Grand,6
2611,250000,80000,Diesel,Individual,Manual,First Owner,Maruti Ritz,12
2613,300000,20000,Petrol,Individual,Manual,First Owner,Renault KWID,5
2614,800000,19000,Petrol,Individual,Manual,First Owner,Ford EcoSport,6
2615,125000,95000,Diesel,Individual,Manual,Second Owner,others,14
2618,295000,90000,Diesel,Individual,Manual,First Owner,Volkswagen Polo,11
2619,650000,45839,Petrol,Dealer,Manual,First Owner,Ford Ecosport,10
2620,200000,74510,Petrol,Dealer,Manual,First Owner,Chevrolet Aveo,13
2621,130000,87293,Petrol,Dealer,Manual,First Owner,Chevrolet Aveo,14
2622,250000,156040,Diesel,Dealer,Manual,First Owner,Ford Figo,11
2623,400000,93415,Diesel,Dealer,Manual,First Owner,Ford Endeavour,19
2624,430000,101159,Petrol,Dealer,Manual,First Owner,others,6
2625,170000,80000,Petrol,Individual,Manual,Second Owner,Hyundai EON,8
2626,450000,12000,Petrol,Individual,Manual,First Owner,Tata Tiago,4
2627,350000,90000,Petrol,Individual,Manual,First Owner,Maruti Swift,10
2628,130000,68519,Petrol,Dealer,Manual,First Owner,Chevrolet Spark,12
2629,180000,55130,Diesel,Dealer,Manual,First Owner,Chevrolet Beat,11
2630,475000,65239,Petrol,Dealer,Manual,First Owner,Ford Ecosport,9
2631,470000,58182,Petrol,Dealer,Manual,First Owner,Volkswagen Polo,8
2632,200000,91245,Diesel,Dealer,Manual,First Owner,Ford Fiesta,11
2633,650000,102989,Diesel,Dealer,Manual,First Owner,Mahindra XUV500,10
2634,400000,50000,Petrol,Individual,Manual,First Owner,Honda City,13
